Month,Day,Hour,Minute,Temperature,DNI,DHI,GHI
1,3,7,10,-2.4,0,0,0
1,3,7,20,-1.9,0,0,0
1,3,7,30,-1.4,0,0,0
1,3,7,40,-0.9,421,15,33
1,3,7,50,-0.4,516,19,55
1,3,8,0,0,592,23,81
1,3,8,10,0.5,653,26,107
1,3,8,20,1,704,29,134
1,3,8,30,1.4000000000000001,746,32,161
1,3,8,40,1.9000000000000001,778,34,189
1,3,8,50,2.4000000000000004,809,36,216
1,3,9,0,2.8000000000000003,835,38,242
1,3,9,10,3.3000000000000003,857,39,268
1,3,9,20,3.7,876,41,292
1,3,9,30,4.1000000000000005,893,42,316
1,3,9,40,4.5,906,44,339
1,3,9,50,4.9,920,45,360
1,3,10,0,5.4,931,46,381
1,3,10,10,5.6000000000000005,941,47,399
1,3,10,20,5.800000000000001,950,47,417
1,3,10,30,6,958,48,433
1,3,10,40,6.2,968,47,447
1,3,10,50,6.4,974,47,460
1,3,11,0,6.6000000000000005,979,47,472
1,3,11,10,6.800000000000001,983,48,482
1,3,11,20,6.9,986,48,490
1,3,11,30,7,989,48,497
1,3,11,40,7.1000000000000005,991,48,502
1,3,11,50,7.300000000000001,992,48,505
1,3,12,0,7.4,993,48,506
1,3,12,10,7.4,993,48,506
1,3,12,20,7.5,992,48,504
1,3,12,30,7.5,991,48,501
1,3,12,40,7.6000000000000005,989,48,496
1,3,12,50,7.6000000000000005,986,48,489
1,3,13,0,7.7,983,48,481
1,3,13,10,7.6000000000000005,979,47,471
1,3,13,20,7.5,974,47,459
1,3,13,30,7.5,968,47,446
1,3,13,40,7.4,954,49,432
1,3,13,50,7.4,946,49,415
1,3,14,0,7.300000000000001,937,48,398
1,3,14,10,6.9,927,47,379
1,3,14,20,6.5,915,46,358
1,3,14,30,6.1000000000000005,901,45,337
1,3,14,40,5.7,884,44,314
1,3,14,50,5.300000000000001,592,95,264
1,3,15,0,4.9,594,83,240
1,3,15,10,4.2,489,91,209
1,3,15,20,3.5,796,38,213
1,3,15,30,2.8000000000000003,765,36,186
1,3,15,40,2,725,34,158
1,3,15,50,1.3,681,31,131
1,3,16,0,0.6000000000000001,628,28,104
1,3,16,10,0.4,3,35,36
1,3,16,20,0.2,0,17,17
1,3,16,30,0.1,383,15,31
1,3,16,40,-0.1,0,0,0
1,3,16,50,-0.3,0,0,0
1,3,17,0,-0.5,0,0,0
1,3,17,10,-0.5,0,0,0
1,3,17,20,-0.5,0,0,0
1,3,17,30,-0.6,0,0,0
1,3,17,40,-0.6,0,0,0
1,3,17,50,-0.6,0,0,0
1,3,18,0,-0.6,0,0,0
1,3,18,10,-0.7,0,0,0
1,3,18,20,-0.8,0,0,0
1,3,18,30,-0.8,0,0,0
1,3,18,40,-0.9,0,0,0
1,3,18,50,-0.9,0,0,0
1,3,19,0,-1,0,0,0
1,3,19,10,-1.1,0,0,0
1,3,19,20,-1.2,0,0,0
1,3,19,30,-1.3,0,0,0
1,3,19,40,-1.5,0,0,0
1,3,19,50,-1.6,0,0,0
1,3,20,0,-1.7,0,0,0
1,3,20,10,-1.7,0,0,0
1,3,20,20,-1.8,0,0,0
1,3,20,30,-1.8,0,0,0
1,3,20,40,-1.9,0,0,0
1,3,20,50,-1.9,0,0,0
1,3,21,0,-1.9,0,0,0
1,3,21,10,-1.9,0,0,0
1,3,21,20,-1.9,0,0,0
1,3,21,30,-1.9,0,0,0
1,3,21,40,-1.8,0,0,0
1,3,21,50,-1.8,0,0,0
1,3,22,0,-1.8,0,0,0
1,3,22,10,-1.7,0,0,0
1,3,22,20,-1.7,0,0,0
1,3,22,30,-1.6,0,0,0
1,3,22,40,-1.5,0,0,0
1,3,22,50,-1.5,0,0,0
1,3,23,0,-1.4,0,0,0
1,3,23,10,-1.4,0,0,0
1,3,23,20,-1.3,0,0,0
1,3,23,30,-1.3,0,0,0
1,3,23,40,-1.2,0,0,0
1,3,23,50,-1.2,0,0,0
1,4,0,0,-1.1,0,0,0
1,4,0,10,-1.1,0,0,0
1,4,0,20,-1,0,0,0
1,4,0,30,-1,0,0,0
1,4,0,40,-1,0,0,0
1,4,0,50,-0.9,0,0,0
1,4,1,0,-0.9,0,0,0
1,4,1,10,-0.9,0,0,0
1,4,1,20,-0.9,0,0,0
1,4,1,30,-0.9,0,0,0
1,4,1,40,-0.9,0,0,0
1,4,1,50,-0.9,0,0,0
1,4,2,0,-1,0,0,0
1,4,2,10,-1,0,0,0
1,4,2,20,-1,0,0,0
1,4,2,30,-1,0,0,0
1,4,2,40,-1.1,0,0,0
1,4,2,50,-1.1,0,0,0
1,4,3,0,-1.1,0,0,0
1,4,3,10,-1.2,0,0,0
1,4,3,20,-1.3,0,0,0
1,4,3,30,-1.3,0,0,0
1,4,3,40,-1.4,0,0,0
1,4,3,50,-1.5,0,0,0
1,4,4,0,-1.6,0,0,0
1,4,4,10,-1.6,0,0,0
1,4,4,20,-1.7,0,0,0
1,4,4,30,-1.8,0,0,0
1,4,4,40,-1.9,0,0,0
1,4,4,50,-1.9,0,0,0
1,4,5,0,-2,0,0,0
1,4,5,10,-2.1,0,0,0
1,4,5,20,-2.2,0,0,0
1,4,5,30,-2.2,0,0,0
1,4,5,40,-2.3,0,0,0
1,4,5,50,-2.4,0,0,0
1,4,6,0,-2.5,0,0,0
1,4,6,10,-2.5,0,0,0
1,4,6,20,-2.6,0,0,0
1,4,6,30,-2.6,0,0,0
1,4,6,40,-2.7,0,0,0
1,4,6,50,-2.7,0,0,0
1,4,7,0,-2.8,0,0,0
1,4,7,10,-2.6,0,0,0
1,4,7,20,-2.3,0,0,0
1,4,7,30,-2.1,0,0,0
1,4,7,40,-1.9,4,21,21
1,4,7,50,-1.7,17,38,39
1,4,8,0,-1.4,43,54,59
1,4,8,10,-1.2,80,69,79
1,4,8,20,-0.9,123,81,100
1,4,8,30,-0.6,170,92,121
1,4,8,40,-0.3,210,101,143
1,4,8,50,0,247,110,165
1,4,9,0,0.2,286,116,186
1,4,9,10,0.5,320,122,207
1,4,9,20,0.8,354,126,228
1,4,9,30,1.1,378,131,247
1,4,9,40,1.3,391,138,265
1,4,9,50,1.6,404,144,283
1,4,10,0,1.9000000000000001,389,155,295
1,4,10,10,2,421,153,311
1,4,10,20,2.2,425,160,325
1,4,10,30,2.4000000000000004,430,164,338
1,4,10,40,2.6,434,170,350
1,4,10,50,2.7,441,173,360
1,4,11,0,2.9000000000000004,448,175,370
1,4,11,10,3,455,176,378
1,4,11,20,3.1,459,178,384
1,4,11,30,3.2,464,179,389
1,4,11,40,3.3000000000000003,467,180,394
1,4,11,50,3.3000000000000003,470,180,397
1,4,12,0,3.4000000000000004,406,195,383
1,4,12,10,3.4000000000000004,426,196,393
1,4,12,20,3.5,167,241,318
1,4,12,30,3.5,161,241,314
1,4,12,40,3.5,387,204,380
1,4,12,50,3.5,414,192,378
1,4,13,0,3.6,438,181,375
1,4,13,10,3.5,354,198,352
1,4,13,20,3.4000000000000004,270,212,327
1,4,13,30,3.3000000000000003,172,219,290
1,4,13,40,3.2,283,199,313
1,4,13,50,3.2,204,201,281
1,4,14,0,3.1,96,192,228
1,4,14,10,2.9000000000000004,87,194,226
1,4,14,20,2.6,157,183,237
1,4,14,30,2.4000000000000004,299,154,252
1,4,14,40,2.1,311,143,239
1,4,14,50,1.9000000000000001,233,142,209
1,4,15,0,1.7000000000000002,203,136,190
1,4,15,10,1.2000000000000002,79,132,151
1,4,15,20,0.7000000000000001,97,124,145
1,4,15,30,0.2,44,106,115
1,4,15,40,-0.2,36,92,99
1,4,15,50,-0.7,24,72,76
1,4,16,0,-1.2,6,51,51
1,4,16,10,-1.3,6,46,47
1,4,16,20,-1.5,8,29,29
1,4,16,30,-1.6,1,13,13
1,4,16,40,-1.8,0,0,0
1,4,16,50,-2,0,0,0
1,4,17,0,-2.1,0,0,0
1,4,17,10,-2.2,0,0,0
1,4,17,20,-2.3,0,0,0
1,4,17,30,-2.4,0,0,0
1,4,17,40,-2.6,0,0,0
1,4,17,50,-2.7,0,0,0
1,4,18,0,-2.8,0,0,0
1,4,18,10,-2.8,0,0,0
1,4,18,20,-2.9,0,0,0
1,4,18,30,-3,0,0,0
1,4,18,40,-3,0,0,0
1,4,18,50,-3.1,0,0,0
1,4,19,0,-3.2,0,0,0
1,4,19,10,-3.2,0,0,0
1,4,19,20,-3.2,0,0,0
1,4,19,30,-3.2,0,0,0
1,4,19,40,-3.2,0,0,0
1,4,19,50,-3.2,0,0,0
1,4,20,0,-3.2,0,0,0
1,4,20,10,-3.2,0,0,0
1,4,20,20,-3.2,0,0,0
1,4,20,30,-3.2,0,0,0
1,4,20,40,-3.2,0,0,0
1,4,20,50,-3.1,0,0,0
1,4,21,0,-3.1,0,0,0
1,4,21,10,-3.1,0,0,0
1,4,21,20,-3.1,0,0,0
1,4,21,30,-3,0,0,0
1,4,21,40,-3,0,0,0
1,4,21,50,-3,0,0,0
1,4,22,0,-2.9,0,0,0
1,4,22,10,-2.9,0,0,0
1,4,22,20,-2.9,0,0,0
1,4,22,30,-2.9,0,0,0
1,4,22,40,-2.9,0,0,0
1,4,22,50,-2.8,0,0,0
1,4,23,0,-2.8,0,0,0
1,4,23,10,-2.9,0,0,0
1,4,23,20,-2.9,0,0,0
1,4,23,30,-2.9,0,0,0
1,4,23,40,-3,0,0,0
1,4,23,50,-3,0,0,0
1,5,0,0,-3,0,0,0
1,5,0,10,-3.1,0,0,0
1,5,0,20,-3.1,0,0,0
1,5,0,30,-3.2,0,0,0
1,5,0,40,-3.2,0,0,0
1,5,0,50,-3.3,0,0,0
1,5,1,0,-3.3,0,0,0
1,5,1,10,-3.3,0,0,0
1,5,1,20,-3.3,0,0,0
1,5,1,30,-3.3,0,0,0
1,5,1,40,-3.3,0,0,0
1,5,1,50,-3.2,0,0,0
1,5,2,0,-3.2,0,0,0
1,5,2,10,-3.2,0,0,0
1,5,2,20,-3.2,0,0,0
1,5,2,30,-3.2,0,0,0
1,5,2,40,-3.2,0,0,0
1,5,2,50,-3.2,0,0,0
1,5,3,0,-3.2,0,0,0
1,5,3,10,-3.2,0,0,0
